case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case5,0.88,G-U0051-01,1.0,0.5,0.6667,0.0,45,5,10,5,0
case6,0.85,G-U0051-01,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0051-02,0.0,0.0,0.0,0.0704,20,5,10,0,5
case2,0.94,G-U0051-02,0.0,0.0,0.0,0.0704,45,5,10,0,5
case3,0.92,G-U0051-02,0.0,0.0,0.0,0.0704,72,5,10,0,5
case4,0.9,G-U0051-02,0.0,0.0,0.0,0.0704,80,5,10,0,5
case5,0.88,G-U0051-02,0.0,0.0,0.0,0.0704,81,5,10,0,5
case6,0.85,G-U0051-02,0.0,0.0,0.0,0.0704,81,5,10,0,5
case1,0.96,G-U0051-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0051-03,1.0,0.5,0.6667,0.0,11,5,10,5,0
case3,0.92,G-U0051-03,1.0,0.5,0.6667,0.0,14,5,10,5,0
case4,0.9,G-U0051-03,1.0,0.5,0.6667,0.0,28,5,10,5,0
case5,0.88,G-U0051-03,1.0,0.5,0.6667,0.0,55,5,10,5,0
case6,0.85,G-U0051-03,1.0,0.5,0.6667,0.0,79,5,10,5,0
case1,0.96,G-U0051-04,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0051-04,0.8,0.4,0.5333,0.0141,9,5,10,4,1
case3,0.92,G-U0051-04,0.8,0.4,0.5333,0.0141,27,5,10,4,1
case4,0.9,G-U0051-04,0.8,0.4,0.5333,0.0141,52,5,10,4,1
case5,0.88,G-U0051-04,0.8,0.4,0.5333,0.0141,75,5,10,4,1
case6,0.85,G-U0051-04,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0051-05,1.0,0.5,0.6667,0.0,20,5,10,5,0
case2,0.94,G-U0051-05,1.0,0.5,0.6667,0.0,53,5,10,5,0
case3,0.92,G-U0051-05,1.0,0.5,0.6667,0.0,72,5,10,5,0
case4,0.9,G-U0051-05,1.0,0.5,0.6667,0.0,81,5,10,5,0
case5,0.88,G-U0051-05,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0051-05,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0052-01,0.6,0.3,0.4,0.0282,16,5,10,3,2
case2,0.94,G-U0052-01,0.6,0.3,0.4,0.0282,35,5,10,3,2
case3,0.92,G-U0052-01,0.6,0.3,0.4,0.0282,58,5,10,3,2
case4,0.9,G-U0052-01,0.6,0.3,0.4,0.0282,77,5,10,3,2
case5,0.88,G-U0052-01,0.6,0.3,0.4,0.0282,81,5,10,3,2
case6,0.85,G-U0052-01,0.6,0.3,0.4,0.0282,81,5,10,3,2
case1,0.96,G-U0052-02,1.0,0.5,0.6667,0.0,8,5,10,5,0
case2,0.94,G-U0052-02,1.0,0.5,0.6667,0.0,13,5,10,5,0
case3,0.92,G-U0052-02,1.0,0.5,0.6667,0.0,54,5,10,5,0
case4,0.9,G-U0052-02,1.0,0.5,0.6667,0.0,73,5,10,5,0
case5,0.88,G-U0052-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0052-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0052-03,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0052-03,1.0,0.4,0.5714,0.0,4,4,10,4,0
case3,0.92,G-U0052-03,1.0,0.5,0.6667,0.0,8,5,10,5,0
case4,0.9,G-U0052-03,1.0,0.5,0.6667,0.0,10,5,10,5,0
case5,0.88,G-U0052-03,1.0,0.5,0.6667,0.0,17,5,10,5,0
case6,0.85,G-U0052-03,1.0,0.5,0.6667,0.0,49,5,10,5,0
case1,0.96,G-U0052-04,1.0,0.5,0.6667,0.0,5,5,10,5,0
case2,0.94,G-U0052-04,1.0,0.5,0.6667,0.0,10,5,10,5,0
case3,0.92,G-U0052-04,1.0,0.5,0.6667,0.0,27,5,10,5,0
case4,0.9,G-U0052-04,1.0,0.5,0.6667,0.0,55,5,10,5,0
case5,0.88,G-U0052-04,1.0,0.5,0.6667,0.0,78,5,10,5,0
case6,0.85,G-U0052-04,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0052-05,0.4,0.2,0.2667,0.0423,37,5,10,2,3
case2,0.94,G-U0052-05,0.4,0.2,0.2667,0.0423,53,5,10,2,3
case3,0.92,G-U0052-05,0.4,0.2,0.2667,0.0423,74,5,10,2,3
case4,0.9,G-U0052-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case5,0.88,G-U0052-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case6,0.85,G-U0052-05,0.4,0.2,0.2667,0.0423,81,5,10,2,3
case1,0.96,G-U0053-01,0.2,0.1,0.1333,0.0656,23,5,10,1,4
case2,0.94,G-U0053-01,0.2,0.1,0.1333,0.0656,56,5,10,1,4
case3,0.92,G-U0053-01,0.2,0.1,0.1333,0.0656,69,5,10,1,4
case4,0.9,G-U0053-01,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case5,0.88,G-U0053-01,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case6,0.85,G-U0053-01,0.2,0.1,0.1333,0.0656,71,5,10,1,4
case1,0.96,G-U0053-02,0.0,0.0,0.0,0.082,28,5,10,0,5
case2,0.94,G-U0053-02,0.0,0.0,0.0,0.082,38,5,10,0,5
case3,0.92,G-U0053-02,0.0,0.0,0.0,0.082,57,5,10,0,5
case4,0.9,G-U0053-02,0.0,0.0,0.0,0.082,70,5,10,0,5
case5,0.88,G-U0053-02,0.0,0.0,0.0,0.082,71,5,10,0,5
case6,0.85,G-U0053-02,0.0,0.0,0.0,0.082,71,5,10,0,5
case1,0.96,G-U0053-03,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0053-03,1.0,0.4,0.5714,0.0,4,4,10,4,0
case3,0.92,G-U0053-03,1.0,0.5,0.6667,0.0,5,5,10,5,0
